"","id","sd","ip"
"1",1,1,87.5
"2",1,5,87.5
"3",1,20,52.5
"4",1,50,12.5
"5",1,100,7.5
"6",2,1,87.5
"7",2,5,87.5
"8",2,20,2.5
"9",2,50,2.5
"10",2,100,87.5
"11",3,1,87.5
"12",3,5,87.5
"13",3,20,2.5
"14",3,50,7.5
"15",3,100,7.5
"16",4,1,72.5
"17",4,5,72.5
"18",4,20,32.5
"19",4,50,22.5
"20",4,100,-17.5
"21",5,1,67.5
"22",5,5,67.5
"23",5,20,22.5
"24",5,50,2.5
"25",5,100,2.5
"26",6,1,87.5
"27",6,5,62.5
"28",6,20,37.5
"29",6,50,22.5
"30",6,100,22.5
"31",7,1,87.5
"32",7,5,82.5
"33",7,20,-17.5
"34",7,50,-17.5
"35",7,100,-17.5
"36",8,1,47.5
"37",8,5,27.5
"38",8,20,42.5
"39",8,50,7.5
"40",8,100,7.5
"41",9,1,87.5
"42",9,5,82.5
"43",9,20,87.5
"44",9,50,NA
"45",9,100,7.5
"46",10,1,87.5
"47",10,5,NA
"48",10,20,42.5
"49",10,50,17.5
"50",10,100,12.5
"51",11,1,87.5
"52",11,5,82.5
"53",11,20,42.5
"54",11,50,42.5
"55",11,100,-17.5
"56",12,1,2.5
"57",12,5,12.5
"58",12,20,2.5
"59",12,50,-2.5
"60",12,100,17.5
"61",13,1,52.5
"62",13,5,52.5
"63",13,20,-17.5
"64",13,50,-17.5
"65",13,100,-17.5
"66",14,1,72.5
"67",14,5,52.5
"68",14,20,62.5
"69",14,50,52.5
"70",14,100,2.5
"71",15,1,67.5
"72",15,5,67.5
"73",15,20,37.5
"74",15,50,NA
"75",15,100,22.5
"76",16,1,67.5
"77",16,5,67.5
"78",16,20,12.5
"79",16,50,12.5
"80",16,100,12.5
"81",17,1,87.5
"82",17,5,87.5
"83",17,20,42.5
"84",17,50,12.5
"85",17,100,22.5
"86",18,1,67.5
"87",18,5,67.5
"88",18,20,22.5
"89",18,50,37.5
"90",18,100,2.5
"91",19,1,87.5
"92",19,5,12.5
"93",19,20,2.5
"94",19,50,17.5
"95",19,100,2.5
"96",20,1,12.5
"97",20,5,12.5
"98",20,20,2.5
"99",20,50,2.5
"100",20,100,2.5
"101",21,1,82.5
"102",21,5,82.5
"103",21,20,82.5
"104",21,50,2.5
"105",21,100,-12.5
"106",22,1,67.5
"107",22,5,NA
"108",22,20,37.5
"109",22,50,17.5
"110",22,100,2.5
"111",23,1,87.5
"112",23,5,72.5
"113",23,20,22.5
"114",23,50,37.5
"115",23,100,-17.5
"116",24,1,67.5
"117",24,5,32.5
"118",24,20,42.5
"119",24,50,22.5
"120",24,100,2.5
"121",25,1,87.5
"122",25,5,87.5
"123",25,20,12.5
"124",25,50,17.5
"125",25,100,17.5
"126",26,1,62.5
"127",26,5,62.5
"128",26,20,62.5
"129",26,50,17.5
"130",26,100,2.5
"131",27,1,72.5
"132",27,5,12.5
"133",27,20,17.5
"134",27,50,17.5
"135",27,100,2.5
"136",28,1,87.5
"137",28,5,-17.5
"138",28,20,-17.5
"139",28,50,22.5
"140",28,100,37.5
"141",29,1,82.5
"142",29,5,37.5
"143",29,20,2.5
"144",29,50,NA
"145",29,100,2.5
"146",30,1,2.5
"147",30,5,2.5
"148",30,20,32.5
"149",30,50,-17.5
"150",30,100,-17.5
"151",31,1,87.5
"152",31,5,87.5
"153",31,20,87.5
"154",31,50,37.5
"155",31,100,22.5
"156",32,1,82.5
"157",32,5,82.5
"158",32,20,-17.5
"159",32,50,-17.5
"160",32,100,-17.5
"161",33,1,NA
"162",33,5,32.5
"163",33,20,12.5
"164",33,50,NA
"165",33,100,2.5
"166",34,1,72.5
"167",34,5,2.5
"168",34,20,72.5
"169",34,50,22.5
"170",34,100,17.5
"171",35,1,87.5
"172",35,5,87.5
"173",35,20,87.5
"174",35,50,12.5
"175",35,100,12.5
"176",36,1,52.5
"177",36,5,2.5
"178",36,20,2.5
"179",36,50,2.5
"180",36,100,-12.5
"181",37,1,67.5
"182",37,5,2.5
"183",37,20,2.5
"184",37,50,2.5
"185",37,100,2.5
"186",38,1,42.5
"187",38,5,87.5
"188",38,20,62.5
"189",38,50,42.5
"190",38,100,37.5
"191",39,1,77.5
"192",39,5,37.5
"193",39,20,-17.5
"194",39,50,-17.5
"195",39,100,-17.5
"196",40,1,67.5
"197",40,5,NA
"198",40,20,22.5
"199",40,50,-17.5
"200",40,100,-17.5
"201",41,1,87.5
"202",41,5,82.5
"203",41,20,NA
"204",41,50,2.5
"205",41,100,22.5
"206",42,1,72.5
"207",42,5,72.5
"208",42,20,7.5
"209",42,50,22.5
"210",42,100,37.5
"211",43,1,72.5
"212",43,5,82.5
"213",43,20,12.5
"214",43,50,-17.5
"215",43,100,-17.5
"216",44,1,67.5
"217",44,5,42.5
"218",44,20,7.5
"219",44,50,22.5
"220",44,100,2.5
"221",45,1,7.5
"222",45,5,NA
"223",45,20,2.5
"224",45,50,2.5
"225",45,100,2.5
"226",46,1,87.5
"227",46,5,57.5
"228",46,20,2.5
"229",46,50,NA
"230",46,100,22.5
"231",47,1,67.5
"232",47,5,87.5
"233",47,20,87.5
"234",47,50,87.5
"235",47,100,-17.5
"236",48,1,67.5
"237",48,5,2.5
"238",48,20,2.5
"239",48,50,2.5
"240",48,100,2.5
"241",49,1,87.5
"242",49,5,87.5
"243",49,20,87.5
"244",49,50,-17.5
"245",49,100,-17.5
"246",50,1,82.5
"247",50,5,87.5
"248",50,20,17.5
"249",50,50,17.5
"250",50,100,-17.5
"251",51,1,87.5
"252",51,5,22.5
"253",51,20,22.5
"254",51,50,37.5
"255",51,100,-17.5
"256",52,1,67.5
"257",52,5,67.5
"258",52,20,12.5
"259",52,50,-17.5
"260",52,100,-17.5
"261",53,1,87.5
"262",53,5,72.5
"263",53,20,32.5
"264",53,50,17.5
"265",53,100,17.5
"266",54,1,87.5
"267",54,5,72.5
"268",54,20,67.5
"269",54,50,42.5
"270",54,100,37.5
"271",55,1,82.5
"272",55,5,82.5
"273",55,20,77.5
"274",55,50,-17.5
"275",55,100,-17.5
"276",56,1,67.5
"277",56,5,67.5
"278",56,20,2.5
"279",56,50,2.5
"280",56,100,2.5
"281",57,1,52.5
"282",57,5,52.5
"283",57,20,52.5
"284",57,50,12.5
"285",57,100,12.5
"286",58,1,82.5
"287",58,5,82.5
"288",58,20,27.5
"289",58,50,42.5
"290",58,100,12.5
"291",59,1,77.5
"292",59,5,77.5
"293",59,20,57.5
"294",59,50,2.5
"295",59,100,2.5
"296",60,1,12.5
"297",60,5,47.5
"298",60,20,37.5
"299",60,50,12.5
"300",60,100,17.5
"301",61,1,67.5
"302",61,5,32.5
"303",61,20,2.5
"304",61,50,2.5
"305",61,100,2.5
"306",62,1,82.5
"307",62,5,NA
"308",62,20,-2.5
"309",62,50,-2.5
"310",62,100,2.5
"311",63,1,87.5
"312",63,5,87.5
"313",63,20,37.5
"314",63,50,12.5
"315",63,100,7.5
"316",64,1,72.5
"317",64,5,12.5
"318",64,20,37.5
"319",64,50,12.5
"320",64,100,-17.5
"321",65,1,87.5
"322",65,5,-17.5
"323",65,20,-17.5
"324",65,50,-17.5
"325",65,100,-17.5
"326",66,1,87.5
"327",66,5,62.5
"328",66,20,17.5
"329",66,50,-17.5
"330",66,100,-17.5
"331",67,1,72.5
"332",67,5,87.5
"333",67,20,72.5
"334",67,50,17.5
"335",67,100,2.5
"336",68,1,67.5
"337",68,5,22.5
"338",68,20,72.5
"339",68,50,62.5
"340",68,100,-17.5
"341",69,1,57.5
"342",69,5,77.5
"343",69,20,57.5
"344",69,50,57.5
"345",69,100,37.5
"346",70,1,87.5
"347",70,5,82.5
"348",70,20,2.5
"349",70,50,17.5
"350",70,100,-17.5
"351",71,1,87.5
"352",71,5,52.5
"353",71,20,17.5
"354",71,50,2.5
"355",71,100,-2.5
"356",72,1,82.5
"357",72,5,82.5
"358",72,20,7.5
"359",72,50,2.5
"360",72,100,-17.5
"361",73,1,67.5
"362",73,5,67.5
"363",73,20,67.5
"364",73,50,2.5
"365",73,100,2.5
"366",74,1,67.5
"367",74,5,67.5
"368",74,20,32.5
"369",74,50,12.5
"370",74,100,17.5
"371",75,1,67.5
"372",75,5,67.5
"373",75,20,17.5
"374",75,50,17.5
"375",75,100,17.5
"376",76,1,72.5
"377",76,5,87.5
"378",76,20,87.5
"379",76,50,87.5
"380",76,100,82.5
"381",77,1,72.5
"382",77,5,47.5
"383",77,20,2.5
"384",77,50,2.5
"385",77,100,-17.5
"386",78,1,67.5
"387",78,5,87.5
"388",78,20,32.5
"389",78,50,12.5
"390",78,100,-17.5
"391",79,1,67.5
"392",79,5,22.5
"393",79,20,22.5
"394",79,50,2.5
"395",79,100,-2.5
"396",80,1,87.5
"397",80,5,7.5
"398",80,20,2.5
"399",80,50,2.5
"400",80,100,2.5
"401",81,1,67.5
"402",81,5,67.5
"403",81,20,37.5
"404",81,50,NA
"405",81,100,37.5
"406",82,1,67.5
"407",82,5,22.5
"408",82,20,17.5
"409",82,50,17.5
"410",82,100,17.5
"411",83,1,67.5
"412",83,5,67.5
"413",83,20,67.5
"414",83,50,37.5
"415",83,100,-17.5
"416",84,1,67.5
"417",84,5,67.5
"418",84,20,-17.5
"419",84,50,-17.5
"420",84,100,-17.5
"421",85,1,42.5
"422",85,5,22.5
"423",85,20,22.5
"424",85,50,22.5
"425",85,100,22.5
"426",86,1,82.5
"427",86,5,27.5
"428",86,20,22.5
"429",86,50,-17.5
"430",86,100,-17.5
"431",87,1,67.5
"432",87,5,57.5
"433",87,20,82.5
"434",87,50,2.5
"435",87,100,2.5
"436",88,1,87.5
"437",88,5,87.5
"438",88,20,12.5
"439",88,50,12.5
"440",88,100,22.5
"441",89,1,67.5
"442",89,5,47.5
"443",89,20,12.5
"444",89,50,42.5
"445",89,100,22.5
"446",90,1,82.5
"447",90,5,82.5
"448",90,20,87.5
"449",90,50,7.5
"450",90,100,22.5
"451",91,1,87.5
"452",91,5,-17.5
"453",91,20,-17.5
"454",91,50,-17.5
"455",91,100,-17.5
"456",92,1,67.5
"457",92,5,67.5
"458",92,20,67.5
"459",92,50,62.5
"460",92,100,42.5
"461",93,1,87.5
"462",93,5,87.5
"463",93,20,87.5
"464",93,50,42.5
"465",93,100,57.5
"466",94,1,67.5
"467",94,5,67.5
"468",94,20,37.5
"469",94,50,37.5
"470",94,100,37.5
"471",95,1,82.5
"472",95,5,22.5
"473",95,20,7.5
"474",95,50,17.5
"475",95,100,-17.5
"476",96,1,62.5
"477",96,5,57.5
"478",96,20,42.5
"479",96,50,37.5
"480",96,100,17.5
"481",97,1,67.5
"482",97,5,37.5
"483",97,20,12.5
"484",97,50,NA
"485",97,100,2.5
"486",98,1,82.5
"487",98,5,77.5
"488",98,20,2.5
"489",98,50,2.5
"490",98,100,2.5
